Frequencies,Band_A_Power,Band_B_Power
0.0,0.0,0.0
0.001,36997046.427798025,600301856.8858659
0.002,37177797.279386535,600820787.5345874
0.003,37360717.58887352,600957323.8568304
0.004,37545844.876726426,600717017.589081
0.005,37733216.43143945,600107307.5519321
0.006,37922869.23488047,599137441.0155872
0.007,38114839.882484876,597818375.4728636
0.008,38309164.49805033,596162662.9118816
0.009000000000000001,38505878.64288149,594184318.9946314
0.01,38705017.21902868,591898679.782887
0.011,38906614.36636099,589322248.8050019
0.012,39110703.35321103,586472537.3251623
0.013000000000000001,39317316.460326724,583367900.6634423
0.014,39526484.85786456,580027373.3263168
0.015,39738238.475160085,576470505.5516262
0.016,39952605.86301254,572717203.659699
0.017,40169614.04822579,568787576.3451918
0.018000000000000002,40389288.380152866,564701788.7544242
0.019,40611652.36900013,560479925.8829072
0.02,40836727.51565792,556141866.5090365
0.021,41064533.132837914,551707168.5632335
0.022,41295086.157314345,547194966.5264205
0.023,41528400.95308617,542623881.1653458
0.024,41764489.10530096,538011941.650866
0.025,42003359.20480934,533376519.873185
0.026000000000000002,42245016.62325067,528734276.56786895
0.027,42489463.27860797,524101118.69940203
0.028,42736697.39121181,519492167.41500586
0.029,42986713.23022072,514921735.7792428
0.03,43239500.85065903,510403315.42753303
0.031,43495045.82115271,505949571.23149645
0.032,43753328.94257017,501572343.04793704
0.033,44014325.957848266,497282653.62303776
0.034,44278007.253364146,493090721.7405981
0.035,44544337.55230225,489005979.7346488
0.036000000000000004,44813275.60056119,485037094.5294427
0.037,45084773.84584993,481191991.4207647
0.038,45358778.110734716,477477879.86921245
0.039,45635227.26051911,473901280.6363169
0.04,45914052.86696842,470468053.6562122
0.041,46195178.8690268,467183426.0974715
0.042,46478521.23182102,464052020.13044775
0.043000000000000003,46763987.6053972,461077879.97403723
0.044,47051476.98479701,458264497.85155356
0.045,47340879.37324602,455614838.53788924
0.046,47632075.45039934,453131362.22912693
0.047,47924936.24776537,450816045.5111737
0.048,48219322.83360887,448670400.24590254
0.049,48515086.00981576,446695490.23191273
0.05,48812066.02338285,444891945.53264904
0.051000000000000004,49110092.29537604,443259974.39763343
0.052000000000000005,49408983.17037388,441799372.733379
0.053,49708545.689582184,440509531.10964906
0.054,50008575.39096252,439389439.31456876
0.055,50308856.13986238,438437688.4991942
0.056,50609159.99376311,437652470.9789794
0.057,50909247.1048692,437031577.7866159
0.058,51208865.664347604,436572394.0983982
0.059000000000000004,51507751.8920804,436271892.6849687
0.06,51805630.07581895,436126625.56736124
0.061,52102212.66361407,436132714.09093344
0.062,52397200.41334305,436285837.66323256
0.063,52690282.60305595,436581221.43711567
0.064,52981137.30571531,437013623.2574893
0.065,53269431.73170256,437577320.228603
0.066,53554822.64220753,438266095.2985544
0.067,53836956.83630093,439073224.2979533
0.068,54115471.71411152,439991463.90977865
0.069,54389995.91808884,441013041.0863359
0.07,54660150.05382761,442129644.4656701
0.07100000000000001,54925547.49136066,443332418.3723451
0.07200000000000001,55185795.247197986,444611960.0145021
0.073,55440494.94669869,445958320.5086633
0.074,55689243.86561768,447361010.3738178
0.075,55931636.04887406,448809010.13475275
0.076,56167263.503749356,450290786.659147
0.077,56395717.463851206,451794315.8214674
0.078,56616589.71927997,453307112.03716934
0.079,56829474.007523745,454816265.14133334
0.08,57033967.45869474,456308484.995346
0.081,57229672.0878189,457770154.09274983
0.082,57416196.3260167,459187388.3008923
0.083,57593156.581582144,460546105.7192669
0.084,57760178.821192496,461832103.4602562
0.085,57916900.16078186,463031141.96619105
0.08600000000000001,58062970.455001615,464129036.27223575
0.08700000000000001,58198053.87368414,465111753.41273403
0.088,58321830.4533395,465965514.9554522
0.089,58433997.611458145,466676903.4407885
0.09,58534271.611279234,467232971.3092289
0.091,58622388.9647203,467621350.72832894
0.092,58698107.761358656,467830362.58846736
0.093,58761208.91170922,467849122.83236146
0.094,58811497.29356025,467667644.22376883
0.095,58848802.79080281,467276931.65157604
0.096,58872981.21501846,466669069.11046255
0.097,58883915.101062134,465837296.60036606
0.098,58881514.36898186,464776075.34351015
0.099,58865716.84583906,463481139.9268122
0.1,58836488.64231627,461949536.23360497
0.101,58793824.380400315,460179644.3240546
0.10200000000000001,58737747.26989201,458171185.74874455
0.10300000000000001,58668309.032988586,455925215.12339747
0.10400000000000001,58585589.67769596,453444096.1425035
0.105,58489697.12232344,450731462.553186
0.106,58380766.674775906,447792164.93584514
0.107,58258960.371760495,444632204.4337596
0.108,58124466.18434718,441258654.8301797
0.109,57977497.09754514,437679574.580826
0.11,57818290.072661586,433903910.5666182
0.111,57647104.90218217,429941395.4329412
0.112,57464222.967740305,425802440.4272697
0.113,57269945.91241807,421498025.63833445
0.114,57064594.23913744,417039589.481122
0.115,56848505.847255275,412438919.1684922
0.116,56622034.51966994,407708043.7689923
0.117,56385548.37278409,402859131.2793727
0.11800000000000001,56139428.281554274,397904390.9475244
0.11900000000000001,55884066.291601956,392855981.8752949
0.12,55619864.02997323,387725928.71865034
0.121,55347231.12562858,382526045.0920712
0.122,55066583.65013407,377267865.08108103
0.123,54778342.58832525,371962583.0765293
0.124,54482932.3479416,366621001.9706897
0.125,54180779.31639809,361253489.60124916
0.126,53872310.47198638,355869943.1966133
0.127,53557952.055897824,350479761.46545213
0.128,53238128.310547344,345091823.88495106
0.129,52913260.28876593,339714476.6750685
0.13,52583764.7375313,334355524.8988425
0.131,52250053.05903364,329022230.0996994
0.132,51912530.35103511,323721312.87374276
0.133,51571594.52768673,318458959.7759531
0.134,51227635.52122134,313240833.97188205
0.135,50881034.56425137,308072089.068577
0.136,50532163.551770106,302957385.5880575
0.137,50181384.48138657,297900909.58175766
0.138,49829048.96981979,292906392.9232326
0.139,49475497.84323676,287977134.85758495
0.14,49121060.798641145,283116024.42821133
0.14100000000000001,48766056.13320312,278325563.44352245
0.14200000000000002,48410790.53816411,273607889.68737745
0.14300000000000002,48055558.95374912,268964800.11641586
0.14400000000000002,47700644.481372125,264397773.824759
0.145,47346318.349321015,259907994.59132206
0.146,46992839.928054884,255496372.8569985
0.147,46640456.791234285,251163567.0081379
0.148,46289404.81862838,246910003.8689818
0.149,45939908.337099254,242735898.3291175
0.15,45592180.29594798,238641272.05262804
0.151,45246422.47301492,234625971.23360273
0.152,44902825.70805583,230689683.37819538
0.153,44561570.16005916,226831953.10664767
0.154,44222825.58532915,223052196.97984177
0.155,43886751.63332613,219349717.36419243
0.156,43553498.157430895,215723715.35623997
0.157,43223205.53797936,212173302.79434344
0.158,42896005.01509479,208697513.3895849
0.159,42572019.02902698,205295313.01154587
0.16,42251361.56588705,201965609.16716042
0.161,41934138.50684353,198707259.71253952
0.162,41620447.97901721,195519080.83861715
0.163,41310380.706478775,192399854.37181535
0.164,41004020.359913364,189348334.4307652
0.165,40701443.90366875,186363253.47954443
0.166,40402721.93904933,183443327.81698737
0.167,40107919.0428553,180587262.54044962
0.168,39817094.10029487,177793756.0210425
0.169,39530300.63151878,175061503.92583027
0.17,39247587.111137725,172389202.82086164
0.171,38968997.2801879,169775553.38721684
0.17200000000000001,38694570.450105354,167219263.28052622
0.17300000000000001,38424341.79835769,164719049.66268536
0.17400000000000002,38158342.65546211,162273641.4327673
0.17500000000000002,37896600.783191144,159881781.18244186
0.176,37639140.64383379,157542226.8995628
0.177,37385983.660438016,155253753.44198403
0.178,37137148.46801412,153015153.8021348
0.179,36892651.15572423,150825240.18140778
0.18,36652505.500125095,148682844.89201948
0.181,36416723.189566284,146586821.10267115
0.182,36185314.03987736,144536043.4430851
0.183,35958286.20150342,142529408.48130897
0.184,35735646.35827074,140565835.08657095
0.185,35517399.917981975,138644264.68942988
0.186,35303551.19505505,136763661.4499926
0.187,35094103.58543099,134923012.34406668
0.188,34889059.7339836,133121327.17627454
0.189,34688421.694669604,131357638.5283734
0.19,34492191.08365975,129631001.65030241
0.191,34300369.22569207,127940494.30080621
0.192,34112957.293885946,126285216.54386821
0.193,33929956.443251655,124664290.50661294
0.194,33751367.938123934,123076860.10381398
0.195,33577193.27374002,121522090.73365778
0.196,33407434.29217322,119999168.94897127
0.197,33242093.29282158,118507302.10771175
0.198,33081173.137638826,117045718.00614537
0.199,32924677.351279996,115613664.49779625
0.2,32772610.21631881,114210409.10093744
0.201,32624976.86367668,112835238.59710692
0.202,32481783.358384363,111487458.62287223
0.203,32343036.780777544,110166393.25682846
0.20400000000000001,32208745.303205788,108871384.60359758
0.20500000000000002,32078918.262311473,107601792.37640019
0.20600000000000002,31953566.226910416,106356993.47959079
0.20700000000000002,31832701.061479714,105136381.59238553
0.20800000000000002,31716335.98522996,103939366.75486295
0.209,31604485.626709245,102765374.95718434
0.21,31497166.073854025,101613847.73286006
0.211,31394394.919368073,100484241.75677736
0.212,31296191.30127402,99376028.44860694
0.213,31202575.93844327,98288693.5821161
0.214,31113571.16086862,97221736.90083627
0.215,31029200.9343993,96174671.74045937
0.216,30949490.879611354,95147024.65827408
0.217,30874468.284435418,94138335.06989327
0.218,30804162.110110424,93148154.89347254
0.219,30738602.989974234,92176048.20157382
0.22,30677823.220541,91221590.88078474
0.221,30621856.74425024,90284370.29916923
0.222,30570739.12320296,89363984.9815915
0.223,30524507.503126893,88460044.2929258
0.224,30483200.566734962,87572168.12913981
0.225,30446858.475558262,86699986.61621672
0.226,30415522.799248055,85843139.81686077
0.227,30389236.431249294,85001277.44491465
0.228,30368043.489651967,84174058.58740182
0.229,30351989.201925695,83361151.43409373
0.23,30341119.772138238,82562233.0144922
0.231,30335482.22914968,81776988.94210525
0.232,30335124.254161943,81005113.16589047
0.233,30340093.98588874,80246307.72872993
0.234,30350439.801494274,79500282.5327982
0.23500000000000001,30366210.071332287,78766755.11167844
0.23600000000000002,30387452.885400046,78045450.4090807
0.23700000000000002,30414215.749308422,77336100.56401178
0.23800000000000002,30446545.247459523,76638444.702246
0.23900000000000002,30484486.671020616,75952228.73394461
0.24,30528083.608190756,75277205.15727134
0.241,30577377.494177166,74613132.86785132
0.242,30632407.118236244,73959776.97392222
0.243,30693208.085094582,73316908.61702606
0.244,30759812.22805246,72684304.79809268
0.245,30832246.97109351,72061748.20876713
0.246,30910534.6373852,71449027.06783457
0.247,30994691.70166456,70845934.96259989
0.248,31084727.98416913,70252270.69507952
0.249,31180645.78400576,69667838.13286763
0.25,31282438.95015812,69092446.0645399
0.251,31390091.888730325,68525908.05946119
0.252,31503578.50551965,67968042.33186704
0.253,31622861.083619084,67418671.60909078
0.254,31747889.096482836,66877623.003811456
0.255,31878597.95775829,66344727.8902009
0.256,32014907.710208323,65819821.78385083
0.257,32156721.657231584,65302744.22536453
0.258,32303924.941844758,64793338.667499766
0.259,32456383.07952995,64291452.36575346
0.26,32613940.45307792,63796936.27228116
0.261,32776418.779476732,63309644.93304735
0.262,32943615.561002653,62829436.38810562
0.263,33115302.534959227,62356172.0749104
0.264,33291224.138964623,61889716.73456542
0.265,33471096.011283644,61429938.320915654
0.266,33654603.548405945,60976707.91239368
0.267,33841400.54484008,60529899.62653304
0.268,34031107.94286759,60089390.53706404
0.269,34223312.722711116,59655060.593510166
0.27,34417566.96613036,59226792.543206066
0.271,34613387.12877025,58804471.8556595
0.272,34810253.55853377,58387986.64918351
0.273,35007610.29871055,57977227.61972585
0.274,35204865.21542575,57572087.97182643
0.275,35401390.48903677,57172463.351634525
0.276,35596523.50825208,56778251.781920664
0.277,35789568.20383147,56389353.599019244
0.278,35979796.85561685,56005671.391641095
0.279,36166452.40222136,55627109.94149572
0.28,36348751.2768824,55253576.16566658
0.281,36525886.78570951,54884979.060683034
0.28200000000000003,36697033.03582676,54521229.64823559
0.28300000000000003,36861349.410772964,54162240.92248202
0.28400000000000003,37017985.57909768,53807927.79889419
0.28500000000000003,37166087.009566545,53458207.064596765
0.28600000000000003,37304800.95302733,53112997.330150545
0.28700000000000003,37433282.837127045,52772218.982735015
0.28800000000000003,37550703.00611775,52435794.14068583
0.289,37656253.72441147,52103646.60934471
0.29,37749156.34985848,51775701.83818041
0.291,37828668.57146378,51451886.87914084
0.292,37894091.59696709,51132130.346197866
0.293,37944777.168903455,50816362.37604744
0.294,37980134.283891976,50504514.589928746
0.295,37999635.48934075,50196520.056527935
0.296,38002822.63476224,49892313.2559323
0.297,37989311.961585745,49591830.04460238
0.298,37958798.42569725,49295007.621330515
0.299,37911059.160735555,49001784.49415524
0.3,37845956.00706659,48712100.44820201
0.301,37763437.050839566,48425896.51442172
0.302,37663537.13895769,48143114.9391995
0.303,37546377.35843686,47863699.15480695
0.304,37412163.49167711,47587593.750672035
0.305,37261183.481812604,47314744.44544168
0.306,37093803.96373474,47045098.05981287
0.307,36910465.93586472,46778602.49010905
0.308,36711679.66464515,46515206.68257884
0.309,36498018.92751874,46254860.608395614
0.31,36270114.71050576,45997515.239336476
0.311,36028648.483184494,45743122.5241204
0.312,35774345.176885165,45491635.36538553
0.313,35507965.99134818,45243007.59728657
0.314,35230301.15122822,44997193.96369368
0.315,34942162.72701765,44754150.09697509
0.316,34644377.62567258,44513832.49734575
0.317,34337780.8449668,44276198.512765564
0.318,34023209.072911344,44041206.31937069
0.319,33701494.700001225,43808814.90242231
0.32,33373460.298098024,43578984.03775747
0.321,33039913.60589585,43351674.27372751
0.322,32701643.04755651,43126846.91360947
0.323,32359413.798575006,42904463.99847698
0.324,32013964.40151163,42684488.29051693
0.325,31666003.924090486,42466883.256779194
0.326,31316209.643433213,42251613.05334676
0.327,30965225.23292196,42038642.509914175
0.328,30613659.422364272,41827937.11476244
0.329,30262085.097710576,41619463.00011898
0.33,29911038.803465392,41413186.927891746
0.331,29561020.609018795,41209076.275766626
0.332,29212494.299271103,41007099.02365791
0.333,28865887.84998749,40807223.74050164
0.334,28521594.149152696,40609419.57138225
0.335,28179971.927054845,40413656.22498304
0.336,27841346.859776054,40219903.96135126
0.337,27506012.813077945,40028133.579969116
0.338,27174233.196230814,39838316.408121936
0.339,26846242.398044974,39650424.289555356
0.34,26522247.280137967,39464429.57341341
0.341,26202428.705239665,39280305.103449516
0.342,25886943.081043188,39098024.20750323
0.343,25575923.90270568,38917560.68723497
0.34400000000000003,25269483.279558644,38738888.80811183
0.34500000000000003,24967713.433876142,38561983.28963758
0.34600000000000003,24670688.161657624,38386819.29582002
0.34700000000000003,24378464.247301407,38213372.42586946
0.34800000000000003,24091082.825773194,38041618.70512158
0.34900000000000003,23808570.68741348,37871534.57617911
0.35000000000000003,23530941.521885287,37703096.890266076
0.35100000000000003,23258197.098947804,37536282.898788795
0.352,22990328.384763055,37371070.24509825
0.353,22727316.59331341,37207436.95644849
0.354,22469134.173242103,37045361.436145425
0.355,22215745.731036372,36884822.45588139
0.356,21967108.89197068,36725799.14825021
0.357,21723175.10062426,36568270.99943803
0.358,21483890.363097254,36412217.842085496
0.359,21249195.93328328,36257619.84831623
0.36,21019028.945723332,36104457.52292792
0.361,20793322.99767706,35952711.69674108
0.362,20572008.683110043,35802363.52010183
0.363,20355014.08131831,35653394.4565344
0.364,20142265.202900477,35505786.27653966
0.365,19933686.395749815,35359521.051535666
0.366,19729200.713678528,35214581.14793667
0.367,19528730.25020924,35070949.22136712
